Year,Population,Yearly_Change_Percentage,Yearly_Change,Migrants,Median_Age,Fertility_Rate,Density,Urban_pop_percentage,Urban_pop,Country_world_pop,World_Population,Global_Rank,Male,Female
2019,2936706,0.09%,2554,-4998,34.3,1.64,103,63.50%,1865210,0.04%,7714576923,139,47.04%,52.96%
2018,2934152,0.13%,3702,-4998,34.3,1.64,103,63.60%,1867160,0.04%,7632819325,139,47.04%,52.96%
2017,2930450,0.19%,5634,-4998,34.3,1.64,103,63.80%,1869644,0.04%,7550262101,138,47.04%,52.96%
2016,2924816,0.27%,7866,-4998,34.3,1.64,103,64.00%,1871933,0.04%,7466964280,139,47.03%,52.97%
2015,2916950,0.27%,7928,-6107,33.9,1.65,102,64.20%,1873591,0.04%,7383008820,140,47.01%,52.99%
2010,2877311,-0.71%,-20790,-36672,32.9,1.72,101,65.50%,1884192,0.04%,6958169159,139,46.79%,53.21%
2005,2981259,-0.58%,-17666,-32104,31.8,1.65,105,64.90%,1935079,0.05%,6542159383,137,47.02%,52.98%
2000,3069588,-0.94%,-29551,-44775,30.6,1.75,108,64.80%,1989199,0.05%,6145006989,134,46.94%,53.06%
1995,3217342,-1.88%,-64165,-99258,29.4,2.38,113,66.20%,2129141,0.06%,5751474416,128,47.37%,52.63%
1990,3538165,1.18%,40446,-13506,27.2,2.6,124,67.50%,2389860,0.07%,5330943460,122,48.47%,51.53%
1985,3335935,1.48%,47237,-10246,25.3,2.5,117,67.20%,2240220,0.07%,4873781796,120,48.81%,51.19%
1980,3099751,1.82%,53399,3443,23.5,2.6,109,66.00%,2045091,0.07%,4458411534,121,48.69%,51.31%
1975,2832757,2.33%,61538,17281,21.8,3.04,99,63.50%,1797435,0.07%,4079087198,118,48.75%,51.25%
1970,2525065,2.69%,62750,20680,20.3,3.45,89,59.70%,1507630,0.07%,3700577650,119,48.80%,51.20%
1965,2211316,3.36%,67439,9973,22.7,4.49,78,55.50%,1226264,0.07%,3339592688,121,48.56%,51.44%
1960,1874120,3.69%,62123,11986,22.4,4.9,66,51.10%,957511,0.06%,3033212527,121,48.18%,51.82%
1955,1563505,2.93%,41999,9973,22.7,4.49,55,46.00%,718455,0.06%,2772242535,121,47.78%,52.22%
