Year,Armenia,Azerbaijan,Georgia
1991,-11.69999848,-0.69999996,-21.10000065
1992,-41.80000274,-22.60000039,-44.89999981
1993,-8.799998794,-23.09999955,-29.30000143
1994,5.400002783,-19.70000002,-10.39999376
1995,6.899998416,-11.8000009,2.599995903
1996,5.865400751,1.3000002,11.20000261
1997,3.321079698,5.800000524,10.51904074
1998,7.299999989,10.00000028,3.104903235
1999,3.300000002,7.400000582,2.869256695
2000,5.900000001,11.09999925,1.838341768
2001,9.5566415,9.9,4.805452017
2002,13.18630053,9.438916342,5.473837499
2003,14.04079506,10.20830001,11.05872319
2004,10.46784186,9.253801326,5.794496419
2005,13.86571125,27.96153807,9.58957388
2006,13.19800352,34.46620936,9.419770997
2007,13.74920196,25.46321591,12.57895276
2008,6.900000002,10.59143729,2.418572208
2009,-14.14998864,9.369502784,-3.650513994
2010,2.199999998,4.78883271,6.249487789
2011,4.699999999,-1.572997621,7.221608905
2012,7.200000004,2.202939023,6.35079784
2013,3.3,5.84267327,3.386770836
2014,3.600000001,2.797289382,4.623613264
2015,3.199999999,1.050750982,2.880526546
2016,0.2,-3.064200035,2.846603299
2017,7.500000001,-0.282011197,4.832686291
2018,5.2,1.412873527,4.71737338
