Year,Urban_pop_am,Urban_pop_az,Urban_pop_ge
2019,1865210,5554445,2300493
2018,1867160,5480441,2302656
2017,1869644,5404933,2304786
2016,1871933,5328156,2306889
2015,1873591,5250367,2308992
2010,1884192,4856675,2320260
2005,1935079,4486271,2348200
2000,1989199,4171405,2496944
1995,2129141,4056830,2728179
1990,2389860,3878793,3005250
1985,2240220,3570493,2865401
1980,2045091,3253139,2663279
1975,1797435,2954913,2471020
1970,1507630,2589491,2259815
1965,1226264,2343196,2038696
1960,957511,2052755,1791587
1955,718455,1664720,1538345
